date,id,content,username,like_count,retweet_count
2023-03-22 04:10:05+00:00,1638392578369368066,"Honestly I Don't Think Even An Indictment Would Stop Donald Trump From Taking On The Government ( And Thats Crazy )  #NOPE #TrumpIsSavage 
#Civilwar @_808Legion",_808Legion,1,0
2023-03-22 04:09:49+00:00,1638392510513807366,@RepStefanik So must Donald Trump.,makeTXblueagain,1,0
2023-03-22 04:09:47+00:00,1638392503014658048,"INSANE: Prosecutors say Donald Trump lied to even his own attorneys about the classified documents at Mar-a-Lago.  They were duped.

And the only way Donald can pay for his defenses is to find even more online suckers to dupe.

But Alvin Bragg wasn't duped. And Fanni Willis… https://t.co/1UX85KDjAa",TrendingLiberal,36,8
2023-03-22 04:09:41+00:00,1638392477823401984,"WATCH🚨: Mexico's President Amlo says the United States cannot talk about human rights with Julian Assange detained, cartel violence with President Joe Biden bombing the Nord Stream pipeline, or democracy while arresting the leading presidential candidate Donald Trump. https://t.co/dmOjSkULjH",officer_Lew,6,4
2023-03-22 04:09:40+00:00,1638392473637605376,"Posible arresto de Donald Trump: presidente de México lo calificó de ""completamente antidemocrático"" •https://t.co/jYm7FnKlOG• https://t.co/GQlhfEvhLJ",elpaisuy,1,0
2023-03-22 04:09:39+00:00,1638392468784775170,"WATCH: Former President Donald Trump’s criminal defense attorney in Georgia, Drew  Findling, on the effort to quash the Special Grand Jury report. 

#TheBeat with Ari Melber 
https://t.co/8kf0R8PlBs",LiddleSavages,1,0
2023-03-22 04:09:28+00:00,1638392425155637249,"Jack Smith proved to a judge that Donald Trump lied to his lawyers about the classified documents he stole and refused to give back.

So maybe we could indict Donald Trump over the Stormy Daniels hush money.

And then indict Donald Trump again.

And again.

And again.",daviddunn177,4,0
2023-03-22 04:09:17+00:00,1638392378191912960,Let's support #DonaldTrump,bjonesbrazil,0,0
2023-03-22 04:09:16+00:00,1638392376090607617,"OH LOOK

Tuesday came &amp; gone without Donald Trump getting arrested.

Just hold on for 2 more weeks, BlueAnon! Surely they'll get him this time! The walls are closing in! Keep donating, we're almost there!

🤣

(hi, political outsider here. you're being ridiculous.)

#TrumpArrest https://t.co/EshdKQGFk3",AppaGarg,1,0
2023-03-22 04:09:11+00:00,1638392355047849985,Random Trump https://t.co/jRDkM1wry1 - #randomtrump #trump #donaldtrump #giphy #gif #gifs https://t.co/zRMs2aIAAR,randomtrump1,0,0
2023-03-22 04:09:11+00:00,1638392352426303488,"#AzucenaALas10 | A pesar del desencuentro del presidente López Obrador con republicanos de #EUA, esta mañana, el mandatario defendió a Donald Trump, con quien incluso, desafortunadamente, se comparó https://t.co/kpdeewHTvu",azucenau,13,2
2023-03-22 04:09:08+00:00,1638392342578094084,"@kylenabecker 1)Special Counsel have presented evidence that former President Donald Trump has ""knowingly &amp; deliberately misled his own attorneys about his retention of classified materials after leaving office,"" according to a former top federal judge who leaked",babelmouth1,0,0
2023-03-22 04:09:08+00:00,1638392339998679041,"@SaintLaurant @RonFilipkowski Remember Donald Trump wanted to eliminate payroll taxes if he got re-elected in 2020, that would have ended Social Security and Medicare by 2026,don’t get fooled by Trump saying he doesn’t want to end Social Security and Medicare",DYoffee,0,0
2023-03-22 04:08:54+00:00,1638392283299999746,"MORE: Mar-a-Lago bombshell may be, in part, that Trump lawyer Evan Corcoran RECORDED and transcribed conversations, possibly between himself and Donald Trump. Corcoran has been ordered to hand over transcriptions. 

There is something crucial in Corcoran’s documents or testimony.",TristanSnell,242,51
2023-03-22 04:08:50+00:00,1638392266938290178,"@DravenNoctis @elonmusk I totally agree with you, how many Donald Trump supporters from woke platforms you see on Truth Social ? why are they still supporting traitors who have no respect towards the constitution of this great nation ?",genuineAGalray,0,0
2023-03-22 04:08:41+00:00,1638392226752659456,The Trump Family May Have Skirted Federal Law by Failing to Report Gifts Worth Over $290K During Donald Trump's Administration https://t.co/26qpY7nZRG,ValerieHogan,0,0
2023-03-22 04:08:40+00:00,1638392224839860224,@PapiTrumpo Nice to see people come out and support our great President Donald Trump👍👍🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,Freebird110260,0,0
2023-03-22 04:08:35+00:00,1638392202886823938,"No es una de las imágenes creadas con Inteligencia Artificial (IA) de Donald Trump siendo arrestado, es la imagen de Andrés Manuel López Obrador siendo arrestado por El FBI creada con la inteligencia de @MiguelKhan_Mx 👏👏👏 https://t.co/lTZXwm69fF",ImpudorPolitico,0,0
2023-03-22 04:08:34+00:00,1638392196763373568,"@klph69 @TrumpWarRoom Donald Trump can continue to run his MAGA from prison.

But not the United States of America. https://t.co/OG6qnlnU6i",ArnoldManabat1,0,0
2023-03-22 04:08:33+00:00,1638392192745226240,"@Jim_Jordan I want a Donald Trump prosecution. Indeed, I want a Donald Trump conviction and then, I hope he rots in prison til he dies.",rogertansey,0,0
2023-03-22 04:08:25+00:00,1638392161971339264,"@elonmusk @KanekoaTheGreat I thought he was going to campaign against Donald Trump in the US. 

Wasn't that what the media was pushing last week?",ECC3_12_13,1,0
2023-03-22 04:08:16+00:00,1638392122540797952,How The Arrest of Donald Trump Will Likely Play Out https://t.co/874gPMWeS8,gndupdates,4,3
2023-03-22 04:08:15+00:00,1638392117952126976,"REMEMBER THE NAME EVAN CORCORAN Evan is Donald Trump's equivalent of Richard Nixon's Alexander Butterfield.  It was Butterfield who spilled the beans about the recording machine in the Oval Office that sealed Nixons fate.  Corcoran will sink Trump's boat. 
https://t.co/Kpk6wgimXg",allen_kimble,0,0
2023-03-22 04:08:07+00:00,1638392086755176454,@RepAndyBiggsAZ No Donald Trump was the most dangerous thing that actually did happen in a constitutional republic.,KittyCohen9,0,0
2023-03-22 04:08:03+00:00,1638392068576886785,What alternative universe have you been living in.  Donald Trumps wants only what is best for Donald Trump. He has shown this over and over again!,GebmanThe,0,0
2023-03-22 04:08:03+00:00,1638392067050074114,Republicans should have learned by now everything Donald Trump touches he destroys,onenew20171,0,0
2023-03-22 04:07:52+00:00,1638392022791798786,Donald Trump's lawyer says their legal fight in Manhattan has become an 'all-out war' https://t.co/9v19UF1NAf WAR. PROTEST. BETTER WATCH OUT. WITCH HUNT. Sounds like a Trump thing. Start handing out MAGA hats and flags. Sell the rest of the NFT's . Donations gratefully accepted.,lukewarmshot,0,0
2023-03-22 04:07:52+00:00,1638392021885890560,Ai generated pictures of Donald Trump getting arrested. https://t.co/sT3E1NJyOH,KakulaF,0,0
2023-03-22 04:07:39+00:00,1638391966609145857,How a potential indictment and arrest of Donald Trump could unfold: security issues could affect any arrest and court appearance https://t.co/J3MSJkTuzk,AamerISmad,0,0
2023-03-22 04:07:37+00:00,1638391956773412864,@POTUS And the Biden administration is taking all that away. We need to re -elect Donald Trump and a Republican majority if we hope to save all that thE DNC just posted .,csasmb,0,0
